id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,c-recuperados,d-negativos,d-sospechosos,d-confirmados,d-defunciones,d-recuperados,sospechosos-tasa-100k,confirmados-tasa-100k,activos
143,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-24,32,34,47,5,0,0,-9,21,1,0,33.20,45.90,42
144,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-24,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
145,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-25,535,187,420,40,53,19,0,7,1,18,18.92,42.49,327
146,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-25,521,214,700,117,77,11,-47,40,7,51,13.04,42.64,506
147,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-25,23,11,15,3,0,0,-1,3,0,0,11.37,15.51,12
148,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-25,191,15,27,5,1,18,4,2,0,0,3.08,5.55,21
149,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-25,35,39,49,5,1,3,5,2,0,1,38.08,47.85,43
150,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-25,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
151,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-26,562,179,471,40,53,27,-8,51,0,0,18.11,47.65,378
152,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-26,536,257,737,120,77,15,43,37,3,0,15.66,44.90,540
153,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-26,23,4,15,3,0,0,-7,0,0,0,4.14,15.51,12
154,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-26,202,23,30,5,1,11,8,3,0,0,4.73,6.16,24
155,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-26,35,37,51,5,1,0,-2,2,0,0,36.13,49.80,45
156,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-26,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
157,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-27,576,147,508,40,58,14,-32,37,0,5,14.87,51.40,410
158,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-27,536,263,737,123,86,0,6,0,3,9,16.02,44.90,528
159,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-27,23,5,15,3,0,0,1,0,0,0,5.17,15.51,12
160,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-27,202,39,30,5,1,0,16,0,0,0,8.01,6.16,24
161,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-27,35,37,51,5,8,0,0,0,0,7,36.13,49.80,38
162,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-27,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
163,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-28,584,131,529,45,67,8,-16,21,5,9,13.25,53.52,417
164,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-28,540,229,765,130,91,4,-34,28,7,5,13.95,46.60,544
165,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-28,23,7,15,3,0,0,2,0,0,0,7.24,15.51,12
166,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-28,202,60,31,6,1,0,21,1,1,0,12.33,6.37,24
167,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-28,35,37,53,5,8,0,0,2,0,0,36.13,51.75,40
168,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-28,15,0,4,1,0,0,0,0,0,0,0.00,83.73,3
169,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-29,594,188,564,48,69,10,57,35,3,2,19.02,57.06,447
170,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-29,582,314,831,142,96,42,85,66,12,21,19.13,50.62,593
171,"Baja California",BC,Rosarito,ROS,96734,32.36,-117.06,2020-04-29,23,7,15,3,0,0,0,0,0,0,7.24,15.51,12
172,"Baja California",BC,Ensenada,ENS,486639,31.84,-116.61,2020-04-29,203,39,33,6,2,1,-21,2,0,0,8.01,6.78,25
173,"Baja California",BC,Tecate,TEC,102406,32.56,-116.62,2020-04-29,38,47,63,5,9,3,10,10,0,0,45.90,61.52,49
174,"Baja California",BC,"San Quintin",SQ,4777,30.57,-115.94,2020-04-29,15,0,5,1,0,0,0,1,0,0,0.00,104.67,4
175,"Baja California",BC,Mexicali,MXL,988417,32.61,-115.45,2020-04-30,602,191,589,55,78,8,3,25,7,9,19.32,59.59,456
176,"Baja California",BC,Tijuana,TJ,1641570,32.50,-116.95,2020-04-30,587,310,859,153,117,5,-4,28,11,21,18.88,52.33,589
