id,estado,estado-slug,municipio,municipio-slug,poblacion,latitud,longitud,fecha,c-negativos,c-sospechosos,c-confirmados,c-defunciones,d-negativos,d-sospechosos,d-confirmados,d-defunciones
89,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-15,23,16,17,3,0,6,0,0
90,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-15,14,2,2,1,2,-2,0,0
91,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-16,356,122,216,22,-4,9,9,2
92,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-16,406,325,292,38,10,100,12,6
93,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-16,23,16,5,0,0,1,1,0
94,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-16,148,23,5,1,5,-1,0,0
95,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-16,24,17,18,3,1,1,1,0
96,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-16,16,0,2,1,2,-2,0,0
97,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-17,369,152,236,25,13,30,20,3
98,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-17,407,388,298,42,1,63,6,4
99,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-17,23,16,5,0,0,0,0,0
100,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-17,149,25,5,1,1,2,0,0
101,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-17,24,28,19,3,0,11,1,0
102,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-17,16,0,2,1,0,0,0,0
103,"Baja California",BC,Mexicali,MXL,988417,32.6138,-115.45,2020-04-18,369,232,242,26,0,80,6,1
104,"Baja California",BC,Tijuana,TJ,1641570,32.4968,-116.948,2020-04-18,407,391,374,49,0,3,76,7
105,"Baja California",BC,Rosarito,ROS,96734,32.3595,-117.057,2020-04-18,23,13,10,1,0,-3,5,1
106,"Baja California",BC,Ensenada,ENS,486639,31.8423,-116.61,2020-04-18,149,37,5,1,0,12,0,0
107,"Baja California",BC,Tecate,TEC,102406,32.5619,-116.623,2020-04-18,24,37,19,3,0,9,0,0
108,"Baja California",BC,"San Quintin",SQ,4777,30.5711,-115.941,2020-04-18,16,0,2,1,0,0,0,0
